Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,Questionário para avaliação da capacidade funcional,,,,,,,,METS
,"Fazer trabalhos leves em casa, como juntar o lixo ou lavar a louça?",,,,,,,,2.7
,"Cuidar de si mesmo: vestir-se, alimentar-se, tomar banho?",,,,,,,,2.75
,"Caminhar uma quadra ou duas, no plano?",,,,,,,,2.75
,"Fazer trabalhos moderados em casa, como passar o aspirador de pó, varrer o chão ou guardar/carregar mantimentos?",,,,,,,,3.5
,Subir um lance de escadas ou caminhar em uma subida?,,,,,,,,5.5
,"Fazer trabalhos no jardim/quintal, como usar o rastelo, juntar folhas ou usar a máquina de cortar grama?",,,,,,,,4.5
,Ter atividade sexual?,,,,,,,,5.25
,"Participar de atividades recreacionais moderadas, como jogar boliche, dançar, jogar tênis em dupla?",,,,,,,,6
,"Participar de atividades esportivas, como natação, ou tênis individual, ou futebol?",,,,,,,,7.5
,"Fazer trabalhos pesados em casa, como esfregar/lavar o piso, ou levantar ou deslocar móveis pesados?",,,,,,,,8
,Correr uma distância curta?,,,,,,,,8
,,,,,,,,,
,Condições cardiovasculares graves no perioperatório,,,,,,,,
,Síndrome coronariana aguda,,,,,,,,
,Doenças instáveis da aorta torácica,,,,,,,,
,Edema agudo dos pulmões,,,,,,,,
,Choque cardiogênico,,,,,,,,
,Insuficiência cardíaca classe funcional III/IV da NYHA* ,,,,,,,,
,Angina classe funcional CCS III/IV* ,,,,,,,,
,"Bradiarritmias ou taquiarritmias graves (BAVT, TV) ",,,,,,,,
,Hipertensão arterial sistêmica não controlada (PA > 180 x 110 mmHg),,,,,,,,
,Fibrilação atrial de alta resposta ventricular (FC > 120 bpm) ,,,,,,,,
,Hipertensão arterial pulmonar sintomática,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Avaliação pelo algoritmo de Lee,,,,,,Classe de Risco,,
,"Operação intraperitoneal, intratorácica ou vascular suprainguinal",,,,,,"I (nenhuma variável, risco 0,4%) ",,
,"Doença arterial coronária (ondas Q, sintomas de isquemia, teste+, uso de nitrato)",,,,,,"II (uma variável, risco 0,9%) ",,
,"Insuficiência cardíaca congestiva (clínica, RX tórax com congestão)",,,,,,"III (duas variáveis, risco 7%)",,
,Doença cerebrovascular,,,,,,"IV (> 3 variáveis, risco 11%)",,
,Diabetes com insulinoterapia,,,,,,,,
,"Creatinina pré-operatória > 2,0 mg/dL",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Avaliação pelo algoritmo do American College of Physicians (ACP),,,,,,,,
,IAM < 6m (10 pontos),,,,,,,,
,IAM > 6m (5 pontos),,,,,,,,
,Angina Classe III (10 pontos),,,,,,,,
,Angina Classe IV (20 pontos) ,,,,,,,,
,EAP na última semana (10 pontos) ,,,,,,,,
,EAP alguma vez na vida (5 pontos) ,,,,,,,,
,Suspeita de EAO crítica (20 pontos) ,,,,,,,,
,Ritmo não sinusal ou RS c/ ESSV no ECG (5 pontos) ,,,,,,,,
,> 5 ESV no ECG (5 pontos) ,,,,,,,,
,"PO2 < 60, pCO2 > 50, K<3, U > 107, C > 3,0 ou restrito ao leito (5 pontos) ",,,,,,,,
,Idade > 70 anos (5 pontos),,,,,,,,
,Classes de risco: ,,,,,,,,
,"Se > 20 pontos: alto risco, superior a 15%. ",,,,,,,,
,"Se 0 a 15 pontos, avaliar número de variáveis de Eagle e Vanzetto para discriminar os riscos baixo e intermediário.",,,,,,,,
,Idade > 70 anos ,,,,,,,,
,História de angina   ,,,,,,,,
,DM   ,,,,,,,,
,Ondas Q no ECG ,,,,,,,,
,História de IC ,,,,,,,,
,História de infarto ,,,,,,,,
,Alterações isquêmicas do ST ,,,,,,,,
,HAS com HVE importante,,,,,,,,
,Se no máximo 1 variável: baixo risco: < 3% ,,,,,,,,
,Se > 2 variáveis: risco intermediário: entre 3 a 15%.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Alto (risco cardíaco ≥ 5%)* ,,,,,,,,
,Cirurgias vasculares arteriais de aorta e vasculares periféricas Cirurgias de urgência ou emergência ,,,,,,,,
,Intermediário (risco cardíaco entre 1 e 5%) ,,,,,,,,
,Endarterectomia de carótida e correção endovascular de aneurisma de aorta abdominal Cirurgia de cabeça e pescoço Cirurgias intraperitoneais e intratorácicas Cirurgias ortopédicas Cirurgias prostáticas,,,,,,,,
,Baixo (risco cardíaco < 1%),,,,,,,,
, Procedimentos endoscópicos Procedimentos superficiais  Cirurgia de catarata Cirurgia de mama Cirurgia ambulatorial,,,,,,,,
,,,,,,,,,
,Tipo de Cirurgia,Risco Intrínseco,,,,,,,
,Mama,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Procedimentos dentários,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Tireoide,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Ocular,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Ginecológica minor,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Ortopédica minor,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Reconstrutiva,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Superficial,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Urológica minor (RTU),Baixo (risco cardíaco < 1%),,2.0,,,,,
,VATS minor,Baixo (risco cardíaco < 1%),,2.0,,,,,
,Carótida assintomática,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Endarterectomia carótida (sintomática),Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Angioplastia artéria periférica,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Aneurisma de Aorta endovascular,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Cabeça e Pescoço,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Intraperitoneal,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Intratorácica non-major,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Neurológica,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Ortopédica major,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
,Transplante renal,Intermediário (risco cardíaco entre 1 e 5%) ,,3.0,,,,,
